a 	a1
intend	ý định, có ý định
intention	ý định, mục đích
interested	có thích thú, có quan tâm, có chú ý
interesting	làm thích thú, làm quan tâm, làm chú ý
interest	sự quan tâm, chú ý; làm quan tâm, làm chú ý
interior	phần trong, phía trong; ở trong, ở phía trong
internal	ở trong, bên trong, nội địa
international	quốc tế
Internet	liên mạng
interpretation	sự giải thích
interpret	giải thích
interrupt	làm gián đoạn, ngắt lời
interruption	sự gián đoạn, sự ngắt lời
interval	khoảng (k-t.gian), khoảng cách
interview	cuộc phỏng vấn; phỏng vấn, nói chuyện riêng
into	vào, vào trong
introduce	giới thiệu
introduction	sự giới thiệu, lời giới thiệu
invent	phát minh, sáng chế
invention	sự phát minh, sự sáng chế
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
invest	đầu tư
investment	sự đầu tư, vốn đầu tư
invitation	lời mời, sự mời
invite	mời
involved	để hết tâm trí vào
involve	bao gồm, bao hàm; thu hút, dồn tâm trí
involvement	sự gồm; sự để, dồn hết tâm trí vào
iron	sắt; bọc sắt
irritated	tức giận, cáu tiết
irritate	làm phát cáu, chọc tức
-ish	tiếp vị ngữ
island	hòn đảo
issue	sự phát ra, sự phát sinh; phát hành, đưa ra
item	tin tức; khoản.., món..., tiết mục
it	cái đó, điều đó, con vật đó
itself	chính cái đó, chính điều đó, chính con vật đó
its	của cái đó, của điều đó...
jacket	áo vét
jam	mứt
January	tháng giêng
jealous	ghen,, ghen tị
jeans	quần bò, quần zin
jelly	thạch
jewellery	nữ trang, kim hoàn
job	việc, việc làm
join	gia nhập, tham gia; nối, chắp, ghép
joint	chung; chỗ nối, đầu nối
joke	trò cười, lời nói đùa; nói đùa, giễu cợt
journalist	nhà báo
journey	cuộc hành trình; quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	xét xử, phân xử; quan tòa, thẩm phán
judgement	sự xét xử
juice	nước ép (rau, củ, quả)
July	tháng 7
jump	nhảy; sự nhảy, bước nhảy
June	tháng 6
junior	trẻ hơn, ít tuổi hơn; người ít tuổi hơn
justice	sự công bằng
justified	hợp lý, được chứng minh là đúng
justify	bào chữa, biện hộ
just	đúng, vừa đủ; vừa mới, chỉ
keen	sắc, bén
keep	giữ, giữ lại
keyboard	bàn phím
key	chìa khóa, khóa, thuộc (khóa)
kick	đá; cú đá
kid	con dê non
killing	sự giết chóc, sự tàn sát
kill	giết, tiêu diệt
kilogram	Kilôgam
kilometre	kilomet
kind	loại, giống; tử tế, có lòng tốt
kindly	tử tế, tốt bụng
kindness	sự tử tế, lòng tốt
king	vua, quốc vương
kiss	hôn, cái hôn
kitchen	bếp
knee	đầu gối
knife	con dao
knit	đan, thêu
knitted	được đan, được thêu
knitting	việc đan; hàng dệt kim
knock	đánh, đập; cú đánh
knot	cái nơ; điểm nút, điểm trung tâm
know	biết
knowledge	sự hiểu biết, tri thức
label	nhãn, mác; dán nhãn, ghi mác
lab	phòng thí nghiệm
laboratory	phòng thí nghiệm
labour	lao động; công việc
lacking	ngu đần, ngây ngô
lack	sự thiếu; thiếu
lady	người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	đất, đất canh tác, đất đai
landscape	phong cảnh
lane	đường nhỏ (làng, hẻm phố)
language	ngôn ngữ
large	rộng, lớn, to
largely	phong phú, ở mức độ lớn
last	sau cùng; người cuối cùng; cuối cùng
late	trễ, muộn
later	chậm hơn
latest	muộn nhất, chậm nhất, gần đây nhất
latter	sau cùng, gần đây, mới đây
laugh	cười; tiếng cười
launch	hạ thủy (tàu); khai trương;buổi giới thiệu sản phầm
law	luật
lawyer	luật sư
layer	lớp
lay	xếp, đặt, bố trí
lazy	lười biếng
leader	người lãnh đạo, lãnh tụ
leading	lãnh đạo, dẫn đầu
lead	lãnh đạo, dẫn dắt; sự lãnh đạo, sự hướng dẫn
leaf	lá cây, lá (vàng...)
league	liên minh, liên hoàn
lean	nghiêng, dựa, ỷ vào
learn	học, nghiên cứu
least	tối thiểu; ít nhất
leather	da thuộc
leave	bỏ đi, rời đi, để lại
lecture	bài diễn thuyết, bài thuyết trình
left	bên trái; về phía trái
legal	hợp pháp
leg	chân (người, thú, bàn...)
lemon	quả chanh
lend	cho vay, cho mượn
length	chiều dài, độ dài
less	nhỏ bé, ít hơn; số lượng ít hơn
lesson	bài học
let	cho phép, để cho
letter	thư; chữ cái, mẫu tự
level	trình độ, cấp, vị trí; bằng, ngang bằng
library	thư viện
licence	bằng, chứng chỉ, bằng cử nhân; sự cho phép
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung (xoong, nồi..); mi mắt (eyelid)
lie	nói dối; lời nói dối, sự dối trá
life	đời, sự sống
lift	giơ lên, nhấc lên; sự nâng, sự nhấc lên
light	ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly	nhẹ nhàng
like	giống như; thích; như
likely	có thể xảy ra, có khả năng; có thể, chắc vậy
limited	hạn chế, có giới hạn
limit	giới hạn, ranh giới; giới hạn, hạn chế
line	dây, đường, tuyến
link	mắt xích, mối liên lạc; liên kết, kết nối
lip	môi
liquid	chất lỏng; lỏng, êm ái, du dương, không vững
listen	nghe, lắng nghe
list	danh sách; ghi vào danh sách
literature	văn chương, văn học
litre	lít
little	nhỏ, bé, chút ít; không nhiều; một chút
live	sống, hoạt động
lively	sống, sinh động
living	sống, đang sống
load	gánh nặng, vật nặng; chất, chở
loan	sự vay mượn
local	địa phương, bộ phận, cục bộ
located	định vị
locate	xác định vị trí, định vị
location	vị trí, sự định vị
lock	khóa; khóa
logical	hợp lý, hợp logic
logic	lô gic
lonely	cô đơn, bơ vơ
long	dài, xa; lâu
look	nhìn; cái nhìn
loose	lỏng, không chặt
loosely	lỏng lẻo
lord	Chúa, vua
lorry	xe tải
lose	mất, thua, lạc
loss	sự mất, sự thua
lost	thua, mất
lot	số lượng lớn; rất nhiều
loud	to, inh ỏi, ầm ĩ; to, lớn (nói)
love	tình yêu, lòng yêu thương; yêu, thích
lovely	đẹp, xinh xắn, có duyên
lover	người yêu, người tình
low	thấp, bé, lùn
loyal	trung thành, trung kiên
luck	may mắn, vận may
lucky	gặp may, gặp may mắn, hạnh phúc
luggage	hành lý
lump	cục, tảng, miếng; cái bướu
lunch	bữa ăn trưa
lung	phổi
machine	máy, máy móc
machinery	máy móc, thiết bị
mad	điên, mất trí; bực điên người
magazine	tạp chí
magic	ma thuật, ảo thuật; (thuộc) ma thuật, ảo thuật
mail	thư từ, bưu kiện; gửi qua bưu điện
mainly	chính, chủ yếu, phần lớn
main	chính, chủ yếu, trọng yếu nhất
maintain	giữ gìn, duy trì, bảo vệ
majority	phần lớn, đa số, ưu thế
major	lớn, nhiều hơn, trọng đại, chủ yếu
make	làm, chế tạo; sự chế tạo
make-up	đồ hóa trang, son phấn
male	trai, trống, đực; con trai, đàn ông, con trống, đực
mall	búa
manage	quản lý, trông nom, điều khiển
management	sự quản lý, sự trông nom, sự điều khiển
manager	người quản lý, giám đốc
man	con người; đàn ông
manner	cách, lối, kiểu; dáng, vẻ, thái độ
manufacture	sự chế tạo
manufacturer	người chế tạo,người sx
manufacturing	sự sản xuất, sự chế tạo
many	nhiều
map	bản đồ
March	tháng ba, hành quân; cuộc hành quân
marketing	ma-kết-tinh
market	chợ, thị trường
mark	dấu, nhãn, nhãn mác; đánh dấu, ghi dấu
marriage	sự cưới xin, sự kết hôn, lễ cưới
married	cưới, kết hôn
marry	cưới (vợ), lấy (chồng)
massive	to lớn, đồ sộ 
mass	khối, khối lượng; quần chúng, đại chúng
master	chủ, chủ nhân, thầy giáo, thạc sĩ
matching	tính địch thù, thi đấu
match	trận thi đấu, địch thủ; đối chọi, sánh được
mate	bạn, bạn nghề; giao phối
material	nguyên vật liệu; vật chất, hữu hình
mathematics	toán học, môn toán
matter	chất, vật chất; có ý nghĩa, có tính chất quan trọng
maximum	tối đa; trị số cực đại, lượng cực đại, cực độ
maybe	có thể, có lẽ
May	tháng 5
mayor	thị trưởng
meal	bữa ăn
meaning	ý, ý nghĩa
mean	nghĩa, có nghĩa là
means	của cải, tài sản, phương tiện
meanwhile	trong lúc đó, trong lúc ấy
measure	đo, đo lường; sự đo lường, đơn vị đo lường
measurement	sự đo lường, phép đo
meat	thịt
media	phương tiện truyền thông đại chúng
medical	(thuộc) y học
medicine	y học, y khoa; thuốc
medium	trung bình, trung, vừa; sự trung gian, sự môi giới
meeting	cuộc mít tinh, cuộc biểu tình
meet	gặp, gặp gỡ
melt	tan ra, chảy ra; làm tan chảy ra
member	thành viên, hội viên
membership	tư cách hội viên, địa vị hội viên
me	tôi, tao, tớ
memory	bộ nhớ, trí nhớ, kỉ niệm
mentally	về mặt tinh thần
mental	(thuộc) trí tuệ, trí óc; mất trí
mention	kể ra, nói đến, đề cập
menu	thực đơn
merely	chỉ, đơn thuần
mere	chỉ là
message	tin nhắn, thư tín, điện thông báo, thông điệp
mess	tình trạng lộn xộn; người nhếch nhác, bẩn thỉu
metal	kim loại
method	phương pháp, cách thức
metre	mét
midday	trưa, buổi trưa
middle	giữa, ở giữa
mid-	giữa
midnight	nửa đêm, 12h đêm
might	có thể, có lẽ
mild	nhẹ, êm dịu, ôn hòa
mile	dặm (đo lường)
military	(thuộc) quân đội, quân sự
milk	sữa
milligram	mi-li-gam
millimetre	mi-li-met
million	một triệu
millionth	thứ 1 triệu
mind	tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	công nhân, thợ mỏ; khoáng
minimum	tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minority	phần ít, thiểu số
minor	nhỏ hơn, thứ yếu, không quan trọng
minute	phút
mirror	gương
missing	vắng, thiếu, thất lạc
miss	thiếu nữ,lỡ, trượt; sự trượt, sự thiếu vắng
mistake	lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mixed	lẫn lộn, pha trộn
mix	pha, trộn lẫn; sự pha trộn
mixture	sự pha trộn, sự hỗn hợp
mobile	chuyển động, di động
mobile-phone	điện thoại đi động
model	mẫu, kiểu mẫu
modern	hiện đại, tân tiến
moment	chốc, lát
mom	mẹ
Monday	thứ 2
money	tiền
monitor	màn hình máy tính; nghe, ghi phát thanh, giám sát
month	tháng
mood	lối, thức, điệu
moon	mặt trăng
morally	có đạo đức
moral	(thuộc) đạo đức, luân lý, phẩm hạnh; có đạo đức
more	hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
mostly	hầu hết, chủ yếu là
most	lớn nhất,nhiều nhất;nhất,hơncả
mother	mẹ
motion	sự chuyển động, sụ di động
motorbike	xe máy
motorcycle	xe mô tô
motor	động cơ mô tô
mountain	núi
mount	leo, trèo; núi
mouse	chuột
mouth	miệng
movement	sự chuyển động, sự hoạt động; cử động, động tác
move	chuyển động; sự di chuyển, sự chuyển động
movie	phim xi nê
movie-theater	rạp chiếu phim
moving	động, hoạt động
Mr	ông, ngài
Mrs	bà (đã có chồng)
Ms	bà
much	nhiều, lắm
mud	bùn
multiply	làm tăng lên nhiều lần; sinh sôi nảy nở
mum	mẹ
murder	tội giết người, tội ám sát; giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
musical	(thuộc) nhạc,âm nhạc;du dương,êm ái
musician	nhạc sĩ
music	nhạc, âm nhạc
must	phải, cần, nên làm
my	của tôi
myself	tự tôi, chính tôi
mysterious	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng (tay, chân) móng vuốt
naked	trần, khỏa thân, trơ trụi
name	tên; đặt tên, gọi tên
narrow	hẹp, chật hẹp
national	(thuộc) quốc gia, dân tộc
nation	dân tộc, quốc gia
naturally	vốn, tự nhiên, đương nhiên
natural	(thuộc) tự nhiên, thiên nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
nearby	gần
nearly	gần, sắp, suýt
near	gần, cận; ở gần
neat	sạch, ngăn nắp; rành mạch
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
neck	cổ
needle	cái kim, mũi nhọn
need	cần, đòi hỏi; sự cần
negative	phủ định
neighbourhood	hàng xóm, làng giềng
neighbour	hàng xóm
neither	không này mà cũng không kia
nephew	cháu trai (con anh, chị, em)
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nest	tổ, ổ; làm tổ
net	lưới, mạng
network	mạng lưới, hệ thống
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
newly	mới
new	mới, mới mẻ, mới lạ
news	tin, tin tức
newspaper	báo
next	sát, gần, bên cạnh; lần sau, tiếp nữa
next-to	gần
nicely	thú vị, dễ chịu
nice	đẹp, thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
nine	chín
nineteen	19
ninety	90
ninth	thứ tự 9
nobody	ko ai, ko người nào
noise	tiếng ồn, sự huyên náo
noisy	ồn ào, huyên náo
none	không ai, không người, vật gì
non-	không có gì
no	không
nonsense	lời nói vô lý, vô nghĩa
no-one	không người nào
normally	thông thường, như thường lệ
normal	thường, bình thường;
nor	cũng không
northern	Bắc
north	phía bắc, phương bắc
nose	mũi
note	lời ghi, lời ghi chép; ghi chú, ghi chép
nothing	không gì, không cái gì
noticeable	đáng chú ý, đáng để ý
notice	thông báo, yết thị; chú ý, để ý, nhận biết
not	không
novel	tiểu thuyết, truyện
November	tháng 11
nowhere	không nơi nào, không ở đâu
now	bây giờ, hiện giờ, hiện nay
nuclear	(thuộc) hạt nhân
number	số
nurse	y tá
nut	quả hạch; đầu
obey	vâng lời, tuân theo, tuân lệnh
objective	mục đích; (thuộc) mục tiêu, khách quan
object	vật, vật thể; phản đối, chống lại
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
obtain	đạt được, giành được
obviously	một cách rõ ràng, có thể thấy được
obvious	rõ ràng, rành mạch, hiển nhiên
occasionally	thỉnh thoảng, đôi khi
occasion	dịp, cơ hội
occupied	đang sử dụng, đầy (người)
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
o'clock	đúng giờ
October	tháng 10
oddly	kỳ quặc, kỳ cục, lẻ (số)
odd	kỳ quặc, kỳ cục, lẻ (số)
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offense	tấn công
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
officially	1 cách trịnh trọng, 1 cách chính thức
official	(thuộc) chính quyền, văn phòng;công chức
off	tắt; khỏi, cách, rời
of	của
often	thường, hay, luôn
oh	chao, ôi chao, chà, này..
oil	dầu
OK	đồng ý, tán thành
old-fashioned	lỗi thời
old	già
once	một lần; khi mà, ngay khi, một khi
one-another	một; 1 người, một vật nào đó
one	một
onion	củ hành
only	chỉ có 1, duy nhất; chỉ, mới
on	trên, ở trên; tiếp tục, tiếp diễn
onto	về phía trên, lên trên
opening	khe hở; sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
open	mở, ngỏ; mở, bắt đầu, khai mạc
operate	hoạt động, điều khiển
operation	sự hoạt động, quá trình hoạt động
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
opposed	chống lại, phản đối
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
opposing	tính đối kháng, đối chọi
opposite	đối nhau; trước mặt, đối diện; điều trái ngược
opposition	sự đối lập; sự chống lại, sự phản đối; phe đối lập
option	sự lựa chọn
orange	quả cam; có màu da cam
order	thứ, bậc; ra lệnh
ordinary	thường, thông thường
organization	tổ chức, cơ quan; sự tổ chức
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
organize	tổ chức, thiết lập
organ	đàn óoc gan
originally	một cách sáng tạo, độc đáo; khởi đầu, đầu tiên
original	(thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
origin	gốc, nguồn gốc, căn nguyên
or	hay
other	khác
otherwise	khác, cách khác; nếu không thì...; mặt khác
ought-to	phải, nên, hẳn là
our	của chúng ta
ourselves	bản thân chúng ta, bản thân chúng tôi
ours	của chúng ta, thuộc chúng ta
outdoor	ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outline	vẽ, phác tảo; đường nét, hình dáng, nét ngoài
out	ngoài, ở ngoài, ra ngoài
output	sự sản xuất; sản phẩm, sản lượng
outside	bề ngoài, bên ngoài; ở ngoài; ngoài
outstanding	nổi bật, đáng chú ý; còn tồn lại
oven	lò (nướng)
overall	toàn bộ, toàn thể; tất cả, bao gồm
overcome	chiến thắng, khắc phục, đánh bại (khó khăn)
over	bên trên, vượt qua; lên, lên trên
owe	nợ, hàm ơn; có được (cái gì)
owner	người chủ, chủ nhân
own	của chính mình, tự mình; nhận, nhìn nhận
pace	bước chân, bước
package	gói đồ, bưu kiện;đóng gói,đóng kiện
packaging	bao bì
packet	gói nhỏ
pack	gói, bọc; bó, gói
page	trang (sách)
painful	đau đớn, đau khổ
pain	sự đau đớn, sự đau khổ
painter	họa sĩ
painting	sự sơn; bức họa, bức tranh
paint	sơn, vôi màu; sơn, quét sơn
pair	đôi, cặp
palace	cung điện, lâu đài
pale	taí, nhợt
panel	ván ô (cửa, tường), pa nô
pan	xoong, chảo
pants	quần lót, đùi
paper	giấy
parallel	song song, tương đương
parent	cha, mẹ
park	công viên, vườn hoa; khoanh vùng thành công viên
parliament	nghi viện, quốc hội
particularly	một cách đặc biệt, cá biệt, riêng biệt
particular	riêng biệt, cá biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đối tác, cộng sự
partnership	sự chung phần, sự cộng tác
part	phần, bộ phận
party	tiệc, buổi liên hoan; đảng
passage	sự đi qua, sự trôi qua; hành lang
passenger	hành khách
passing	sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
pass	qua, vượt qua, ngang qua
passport	hộ chiếu
past	quá khứ, dĩ vãng; quá, qua
path	đường mòn; hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern	mẫu, khuôn mẫu
pause	tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
payment	sự trả tiền, số tiền trả, tiền bồi thường
pay	trả, thanh toán, nộp; tiền lương
peaceful	hòa bình, thái bình, yên tĩnh
peace	hòa bình, sự hòa thuận
peak	lưỡi trai; đỉnh, chóp
pencil	bút chì
penny	đồng xu
pen	bút
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống; người 
pepper	hạt tiêu, cây ớt
per-cent	phần trăm
perfectly	một cách hoàn hảo
perfect	hoàn hảo
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perform	biểu diễn; làm, thực hiện
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian; thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permission	sự cho phép, giấy phép
permit	cho phép, cho cơ hội
per	cho mỗi
personality	nhân cách, tính cách; nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
personal	cá nhân, tư, riêng tư
person	con người, người
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	xăng dầu
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	triết học, triết lý
phone	gọi điện
photocopy	bản sao chụp; sao chụp
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photograph	ảnh, bức ảnh; chụp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
photo	sao chép
phrase	câu; thành ngữ, cụm từ
physically	về thân thể, theo luật tự nhiên
physical	vật chất; (thuộc) cơ thể, thân thể
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc (đất); đào, khoét (lỗ)
picture	bức vẽ, bức họa
piece	mảnh, mẩu; đồng tiền
pig	con lợn
pile	cọc, chồng, đống, pin; đóng cọc, chất chồng
pill	viên thuốc
pilot	phi công
pink	màu hồng; hoa cẩm chướng, tình trạng tốt
pin	đinh ghim; ghim., kẹp
pint	panh (= 0, 58 lít (E);=0, 473 lít (A));
pipe	ống dẫn (khí, nước...)
pitch	sân (chơi các môn thể thao); đầu hắc ín
pity	lòng thương hại, điều đáng tiếc, đáng thương
place	nơi, địa điểm; quảng trường
plain	ngay thẳng, đơn giản, chất phác
plane	mặt phẳng, mặt bằng
planet	hành tinh
planning	sự lập kế hoạch, sự quy hoạch
plan	bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
plant	thực vật, sự mọc lên; trồng, gieo
plastic	chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ; thềm, sân ga
player	người chơi 1 trò chơi nào đó (nhạc cụ)
play	chơi, đánh; sự vui chơi, trò chơi, trận đấu
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleased	hài lòng
please	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleasing	mang lại niềm vui thích; dễ chịu
pleasure	điều thích thú, điều thú vị; ý muốn, ý thích
plenty	nhiều (s.k.lượng); chỉ sự thừa; sự sung túc
plot	mảnh đất nhở, đồ thị, đồ án; vẽ sơ đồ
plug	nút (thùng, chậu, bồn...)
plus	cộng với (số, người...); dấu cộng; cộng, thêm vào
p.m.	sau buổi trưa
pocket	túi (quần áo, trong xe hơi), túi tiền
poem	bài thơ
poetry	thi ca; chất thơ
pointed	nhọn, có đầu nhọn
point	mũi nhọn, điểm; vót, làm nhọn, chấm(câu..)
poisonous	độc, có chất độc, gây chết, bệnh
poison	thuốc độc; đánh thuốc độc, tẩm thuốc độc
pole	người Ba Lan; cực (nam châm, trái đất...)
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
political	về chính trị, về chính phủ, có tính chính trị
politician	nhà chính trị, chính khách
politics	chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
pop	tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	có tính đại chúng; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possession	quyền sở hữu, vật sở hữu
possess	có, chiếm hữu
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post-office	bưu điện
post	thư, bưu kiện; gửi thư
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
pot	can, bình, lọ...
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
powerful	hùng mạnh, hùng cường
power	tài năng, năng lực; sức mạnh, nội lực; quyền lực
practically	về mặt thực hành; thực tế
practical	thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, lòng tôn kính, tôn thờ; khen ngợi
prayer	sự cầu nguyện
pray	cầu nguyện
precisely	đúng, chính xác, cần thận
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
predict	báo trước, tiên đoán, dự báo
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
prefer	thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepared	đã được chuẩn bị
prepare	sửa soạn, chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
present	hiện diện; hiện nay; bày tỏ, giới thiệu, trình bày
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	áp lực, áp xuất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vừa phải; xinh, xinh xắn;, đẹp 
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng; trước, ưu tiên
price	giá
pride	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime-minister	thủ tướng
prince	hoàng tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
print	in, xuất bản; sự in ra
priority	sự ưu tế, quyền ưu tiên
prior	trước, ưu tiên
prisoner	tù nhân
prison	nhà tù
private	cá nhân, riêng
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
production	sự sản xuất, chế tạo
product	sản phẩm
professional	(thuộc) nghề, nghề nghiệp; chuyên nghiệp
profession	nghề, nghề nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
programme	chương trình
program	chương trình; lên chương trình
progress	sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
promptly	mau lẹ, ngay lập tức
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
properly	một cách đúng đắn, một cách thích đáng
proper	đúng, thích đáng, thích hợp
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protection	sự bảo vệ, sự che chở
protect	bảo vệ, che chở
protest	sự phản đối, sự phản kháng; phản đối
proudly	một cách tự hào, một cách hãnh diện
proud	tự hào, kiêu hãnh
prove	chứng tỏ, chứng minh
provided	với điều kiện là, miễn là
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
providing	sự cung cấp
publication	sự công bố; sự xuất bản
publicity	sự công khai, sự quảng cáo
public	chung,công cộng;công chúng,nhân dân
publishing	công việc, nghề xuất bản
publish	công bố, ban bố; xuất bản
pub	quán rượu, quán trọ
pull	lôi, kéo, giật; sự lôi kéo, sự giật
punch	đấm, thụi; quả đấm, cú thụi
punishment	sự trừng phạt, sự trừng trị
punish	phạt, trừng phạt
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
purely	hoàn toàn, chỉ là
pure	nguyên chất, tinh khiết, trong lành
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
put	đặt, để, cho vào
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	1/4, 15 phút
queen	nữ hoàng
question	câu hỏi; hỏi, chất vấn
quickly	nhanh
quick	nhanh
quiet	lặng, yên lặng, yên tĩnh
quite	hoàn toàn, hầu hết
quit	thoát, thoát ra
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
